run_id,label,total_events,duration_sec,events_per_sec,inter_event_mean,inter_event_std,burst_max_per_sec,burstiness,distinct_dest_ports,distinct_src_ports,ports_per_event,frac_on_top_port,distinct_protocols,n_login_fail,n_login_success,n_commands,n_command_failed,n_sessions,n_file_downloads,distinct_commands,n_auth_other,n_http_events,n_web_80,n_web_8080,distinct_web_paths,n_suricata_alerts,n_suricata_flows,n_alert_sev_high,n_alert_sev_info,distinct_signatures,any_login_attempt,any_login_success,any_command_run,any_file_download,any_web_request
P006,post_exploitation,23,1.0,23.0,0.0455,0.2083,12,1.043,1,1,0.04348,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
P007,post_exploitation,22,0.0,22.0,0.0,0.0,22,1.0,1,1,0.04545,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P008,post_exploitation,28,0.0,28.0,0.0,0.0,28,1.0,1,1,0.03571,1.0,2,0,1,11,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P009,post_exploitation,33,0.0,33.0,0.0,0.0,33,1.0,1,1,0.0303,1.0,2,0,1,16,1,1,0,16,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P010,post_exploitation,22,0.0,22.0,0.0,0.0,22,1.0,1,1,0.04545,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P011,post_exploitation,21,1.0,21.0,0.05,0.2179,11,1.048,1,1,0.04762,1.0,2,0,1,5,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P012,post_exploitation,25,0.0,25.0,0.0,0.0,25,1.0,1,1,0.04,1.0,2,0,1,7,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P013,post_exploitation,27,0.0,27.0,0.0,0.0,27,1.0,1,1,0.03704,1.0,2,0,1,9,2,1,0,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P014,post_exploitation,17,1.0,17.0,0.0625,0.2421,9,1.059,1,1,0.05882,1.0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P015,post_exploitation,24,180.0,0.1333,7.8261,28.8122,20,4.167,2,4,0.08333,0.9167,4,0,1,6,0,1,0,6,0,0,0,0,0,1,3,0,1,1,1,1,1,0,0
P016,post_exploitation,28,0.0,28.0,0.0,0.0,28,1.0,1,1,0.03571,1.0,2,0,1,9,3,1,0,9,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
P017,post_exploitation,22,1.0,22.0,0.0476,0.213,11,1.0,1,1,0.04545,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P018,post_exploitation,22,0.0,22.0,0.0,0.0,22,1.0,1,1,0.04545,1.0,2,0,1,4,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
P019,post_exploitation,27,1.0,27.0,0.0385,0.1923,16,1.185,1,1,0.03704,1.0,2,0,1,11,0,1,0,11,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
P020,post_exploitation,17,0.0,17.0,0.0,0.0,17,1.0,1,1,0.05882,1.0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P021,post_exploitation,22,1.0,22.0,0.0476,0.213,11,1.0,1,1,0.04545,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P022,post_exploitation,28,0.0,28.0,0.0,0.0,28,1.0,1,1,0.03571,1.0,2,0,1,11,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P023,post_exploitation,20,1.0,20.0,0.0526,0.2233,11,1.1,1,1,0.05,1.0,2,0,1,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P024,post_exploitation,23,0.0,23.0,0.0,0.0,23,1.0,1,1,0.04348,1.0,2,0,1,6,1,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P025,post_exploitation,22,1.0,22.0,0.0476,0.213,11,1.0,1,1,0.04545,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P026,post_exploitation,27,0.0,27.0,0.0,0.0,27,1.0,1,1,0.03704,1.0,2,0,1,9,1,1,0,9,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P027,post_exploitation,33,1.0,33.0,0.0312,0.174,29,1.758,1,1,0.0303,1.0,2,0,1,16,1,1,0,16,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
